GO.ID	Term	Annotated	Significant	Expected	test
GO:0006570	tyrosine metabolic process	5	2	0.02	0.00011
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvat...	5	2	0.02	0.00011
GO:0009074	aromatic amino acid family catabolic pro...	6	2	0.02	0.00017
GO:1901605	alpha-amino acid metabolic process	75	3	0.26	0.00204
GO:1901607	alpha-amino acid biosynthetic process	29	2	0.1	0.00436
GO:0042737	drug catabolic process	31	2	0.11	0.00497
GO:0008652	cellular amino acid biosynthetic process	33	2	0.11	0.00562
GO:1901606	alpha-amino acid catabolic process	34	2	0.12	0.00596
GO:0009063	cellular amino acid catabolic process	39	2	0.13	0.00779
GO:0006520	cellular amino acid metabolic process	130	3	0.45	0.00956
