GO.ID	Term	Annotated	Significant	Expected	test
GO:0006631	fatty acid metabolic process	84	8	1.54	0.00013
GO:0008610	lipid biosynthetic process	164	11	3.01	0.00018
GO:0006629	lipid metabolic process	351	17	6.43	0.00019
GO:0032787	monocarboxylic acid metabolic process	130	9	2.38	0.00058
GO:0044255	cellular lipid metabolic process	258	13	4.73	0.00079
GO:0044281	small molecule metabolic process	591	22	10.83	0.00086
GO:0019752	carboxylic acid metabolic process	279	13	5.11	0.00162
GO:0000038	very long-chain fatty acid metabolic pro...	14	3	0.26	0.00188
GO:0042133	neurotransmitter metabolic process	30	4	0.55	0.00202
GO:0010817	regulation of hormone levels	74	6	1.36	0.00222
GO:0006082	organic acid metabolic process	290	13	5.31	0.00229
GO:0043436	oxoacid metabolic process	290	13	5.31	0.00229
GO:0055114	oxidation-reduction process	336	14	6.16	0.00306
GO:0007343	egg activation	5	2	0.09	0.00321
GO:0042810	pheromone metabolic process	5	2	0.09	0.00321
GO:0042811	pheromone biosynthetic process	5	2	0.09	0.00321
GO:0042136	neurotransmitter biosynthetic process	18	3	0.33	0.00399
GO:0010469	regulation of signaling receptor activit...	19	3	0.35	0.00468
GO:0006378	mRNA polyadenylation	20	3	0.37	0.00543
GO:0030148	sphingolipid biosynthetic process	22	3	0.4	0.00715
GO:0034308	primary alcohol metabolic process	8	2	0.15	0.00867
GO:0008202	steroid metabolic process	46	4	0.84	0.00963
