GO.ID	Term	Annotated	Significant	Expected	test
GO:0006570	tyrosine metabolic process	5	2	0.02	0.00011
GO:1902221	erythrose 4-phosphate/phosphoenolpyruvat...	5	2	0.02	0.00011
GO:0042737	drug catabolic process	31	3	0.11	0.00015
GO:0009074	aromatic amino acid family catabolic pro...	6	2	0.02	0.00017
GO:1901606	alpha-amino acid catabolic process	34	3	0.12	0.00020
GO:0019752	carboxylic acid metabolic process	279	6	0.96	0.00026
GO:0009063	cellular amino acid catabolic process	39	3	0.13	0.00030
GO:0006082	organic acid metabolic process	290	6	1	0.00032
GO:0043436	oxoacid metabolic process	290	6	1	0.00032
GO:0016054	organic acid catabolic process	66	3	0.23	0.00141
GO:0046395	carboxylic acid catabolic process	66	3	0.23	0.00141
GO:0003008	system process	404	6	1.4	0.00187
GO:0044282	small molecule catabolic process	94	3	0.32	0.00388
GO:1901607	alpha-amino acid biosynthetic process	29	2	0.1	0.00436
GO:0055114	oxidation-reduction process	336	5	1.16	0.00482
GO:0050877	nervous system process	342	5	1.18	0.00520
GO:0008652	cellular amino acid biosynthetic process	33	2	0.11	0.00562
