GO.ID	Term	Annotated	Significant	Expected	test
GO:0007620	copulation	19	3	0.14	0.00037
GO:0044283	small molecule biosynthetic process	185	7	1.41	0.00043
GO:0035178	turning behavior	7	2	0.05	0.00116
GO:0035179	larval turning behavior	7	2	0.05	0.00116
GO:0048265	response to pain	7	2	0.05	0.00116
GO:0048266	behavioral response to pain	7	2	0.05	0.00116
GO:0050955	thermoception	7	2	0.05	0.00116
GO:0050960	detection of temperature stimulus involv...	7	2	0.05	0.00116
GO:0050966	detection of mechanical stimulus involve...	7	2	0.05	0.00116
GO:0009581	detection of external stimulus	62	4	0.47	0.00118
GO:0009582	detection of abiotic stimulus	62	4	0.47	0.00118
GO:0019233	sensory perception of pain	29	3	0.22	0.00131
GO:1901607	alpha-amino acid biosynthetic process	29	3	0.22	0.00131
GO:0051606	detection of stimulus	109	5	0.83	0.00131
GO:0033555	multicellular organismal response to str...	8	2	0.06	0.00154
GO:0008652	cellular amino acid biosynthetic process	33	3	0.25	0.00191
GO:0050906	detection of stimulus involved in sensor...	71	4	0.54	0.00195
GO:0048060	negative gravitaxis	10	2	0.08	0.00245
GO:0050974	detection of mechanical stimulus involve...	11	2	0.08	0.00298
GO:0006633	fatty acid biosynthetic process	46	3	0.35	0.00496
GO:0050982	detection of mechanical stimulus	15	2	0.11	0.00558
GO:0009069	serine family amino acid metabolic proce...	16	2	0.12	0.00634
GO:0070588	calcium ion transmembrane transport	51	3	0.39	0.00663
GO:0001894	tissue homeostasis	52	3	0.4	0.00700
GO:0007638	mechanosensory behavior	17	2	0.13	0.00715
GO:0045924	regulation of female receptivity	19	2	0.14	0.00891
GO:0090100	positive regulation of transmembrane rec...	20	2	0.15	0.00985
GO:0006816	calcium ion transport	59	3	0.45	0.00992
GO:0010876	lipid localization	112	4	0.85	0.00996
