GO.ID	Term	Annotated	Significant	Expected	test
GO:0002697	regulation of immune effector process	14	1	0	0.0013
GO:1902275	regulation of chromatin organization	17	1	0	0.0016
GO:0016571	histone methylation	18	1	0	0.0017
GO:0031507	heterochromatin assembly	27	1	0	0.0025
GO:0034401	chromatin organization involved in regul...	27	1	0	0.0025
GO:0097549	chromatin organization involved in negat...	27	1	0	0.0025
GO:2000779	regulation of double-strand break repair	27	1	0	0.0025
GO:0070828	heterochromatin organization	29	1	0	0.0027
GO:0006479	protein methylation	33	1	0	0.0031
GO:0008213	protein alkylation	33	1	0	0.0031
GO:0002252	immune effector process	42	1	0	0.0039
GO:0002684	positive regulation of immune system pro...	44	1	0	0.0041
GO:0006282	regulation of DNA repair	47	1	0	0.0044
GO:2001020	regulation of response to DNA damage sti...	51	1	0	0.0048
GO:0016570	histone modification	55	1	0.01	0.0051
GO:0016569	covalent chromatin modification	56	1	0.01	0.0052
GO:0006333	chromatin assembly or disassembly	60	1	0.01	0.0056
GO:0031497	chromatin assembly	60	1	0.01	0.0056
GO:0050776	regulation of immune response	67	1	0.01	0.0063
GO:0051052	regulation of DNA metabolic process	76	1	0.01	0.0071
GO:0006323	DNA packaging	77	1	0.01	0.0072
GO:0080135	regulation of cellular response to stres...	78	1	0.01	0.0073
GO:0002682	regulation of immune system process	90	1	0.01	0.0084
GO:0033044	regulation of chromosome organization	92	1	0.01	0.0086
